epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,698.305,1.49981,4.1934,1.69032,0.60937,0.82225,0.70576,0.42723,1.10376,1.96623,1.19247,0.00333212,0.00333212,0.00333212
2,1382.21,1.28342,2.08628,1.45434,0.62277,0.7791,0.71201,0.51351,0.86502,1.33255,1.16524,0.00653348,0.00653348,0.00653348
3,2063.84,1.31914,1.97935,1.4725,0.44717,0.86152,0.59371,0.40212,1.1642,2.30123,1.43449,0.00960283,0.00960283,0.00960283
4,2743.89,1.30219,1.93781,1.44244,0.64861,0.79479,0.72567,0.62898,0.70422,1.31075,0.84605,0.009406,0.009406,0.009406
5,3423.01,1.17634,1.82918,1.36121,0.66083,0.75646,0.72231,0.5918,0.63056,1.44431,0.6715,0.009208,0.009208,0.009208
6,4101.42,1.05694,1.73257,1.28836,0.61004,0.75498,0.67902,0.57948,0.72866,1.45223,0.87842,0.00901,0.00901,0.00901
7,4778.81,1.00566,1.66112,1.26465,0.65934,0.8254,0.76521,0.63543,0.73351,1.0671,0.61351,0.008812,0.008812,0.008812
8,5455.87,0.96593,1.64415,1.23236,0.65995,0.8195,0.77294,0.69457,0.48218,1.00572,0.58538,0.008614,0.008614,0.008614
9,6134.61,0.91754,1.57498,1.21026,0.67362,0.81709,0.77595,0.70094,0.46273,1.08654,0.49439,0.008416,0.008416,0.008416
10,6812.52,0.89518,1.59639,1.19493,0.66915,0.81584,0.75698,0.67179,0.39346,0.9918,0.44242,0.008218,0.008218,0.008218
11,7491.71,0.85607,1.57431,1.17443,0.66661,0.79415,0.77398,0.69387,0.52267,1.15657,0.62872,0.00802,0.00802,0.00802
12,8210.23,0.84055,1.57449,1.17036,0.66607,0.81536,0.77337,0.7226,0.34364,1.07325,0.50636,0.007822,0.007822,0.007822
13,9100.27,0.81487,1.54557,1.15855,0.67173,0.77954,0.75884,0.70358,0.40564,1.18152,0.48553,0.007624,0.007624,0.007624
14,9801.77,0.80952,1.50138,1.15391,0.66098,0.81869,0.76811,0.70707,0.38793,1.08487,0.45055,0.007426,0.007426,0.007426
15,10485,0.77218,1.52586,1.12293,0.67728,0.82268,0.78468,0.7337,0.33635,1.07703,0.42756,0.007228,0.007228,0.007228
16,11172.8,0.76243,1.4703,1.11845,0.68318,0.80779,0.78699,0.72825,0.38311,1.09445,0.42345,0.00703,0.00703,0.00703
17,11872.9,0.74427,1.51087,1.11373,0.68458,0.81942,0.78929,0.73736,0.31358,1.02964,0.38807,0.006832,0.006832,0.006832
18,12637.6,0.7393,1.4694,1.10896,0.68659,0.81348,0.79509,0.75079,0.27977,0.96101,0.32681,0.006634,0.006634,0.006634
19,13332.6,0.73132,1.4782,1.10683,0.68561,0.82329,0.79596,0.74791,0.29277,1.01694,0.34597,0.006436,0.006436,0.006436
20,14042.5,0.71041,1.43029,1.09341,0.69342,0.80404,0.79754,0.75998,0.3354,1.01592,0.36584,0.006238,0.006238,0.006238
21,14765.2,0.69667,1.40468,1.08904,0.69801,0.81131,0.80411,0.78434,0.2796,1.00636,0.32955,0.00604,0.00604,0.00604
22,15479.2,0.672,1.41308,1.0776,0.69824,0.80184,0.80066,0.7857,0.24927,1.04006,0.31063,0.005842,0.005842,0.005842
23,16190.6,0.67839,1.41792,1.08301,0.69395,0.81544,0.79981,0.78467,0.26299,1.04302,0.31687,0.005644,0.005644,0.005644
24,16882,0.66125,1.43285,1.07206,0.68509,0.81674,0.79778,0.77754,0.28407,1.07196,0.34517,0.005446,0.005446,0.005446
25,17568.8,0.64517,1.44738,1.06018,0.68979,0.8173,0.79916,0.76845,0.29145,1.04301,0.35297,0.005248,0.005248,0.005248
26,18258.2,0.64048,1.41706,1.05987,0.68979,0.82189,0.80348,0.78772,0.24373,1.04184,0.30869,0.00505,0.00505,0.00505
27,18946.5,0.63196,1.3946,1.05293,0.69607,0.82398,0.80554,0.77734,0.29711,1.0489,0.3501,0.004852,0.004852,0.004852
28,19632.9,0.61896,1.3992,1.04936,0.69382,0.82038,0.80537,0.78334,0.28444,1.005,0.30709,0.004654,0.004654,0.004654
29,20321.1,0.61524,1.35485,1.05722,0.6952,0.82577,0.80648,0.78524,0.27826,0.98862,0.30079,0.004456,0.004456,0.004456
30,21006.3,0.59976,1.40248,1.03536,0.69553,0.82363,0.80831,0.79223,0.26449,0.98748,0.30273,0.004258,0.004258,0.004258
31,21692,0.58162,1.36242,1.03378,0.69427,0.81979,0.80787,0.78932,0.26175,0.96954,0.29571,0.00406,0.00406,0.00406
32,22380.6,0.58452,1.34866,1.03761,0.70219,0.80606,0.80464,0.78978,0.25139,0.9693,0.30368,0.003862,0.003862,0.003862
33,692.562,0.5659,1.32954,1.02508,0.70301,0.81261,0.80753,0.79265,0.25644,0.98435,0.29419,0.003664,0.003664,0.003664
34,1626.86,0.5734,1.31594,1.03173,0.70036,0.81743,0.80719,0.78298,0.29325,0.9892,0.30916,0.003466,0.003466,0.003466
35,2981.43,0.55682,1.33785,1.02372,0.70173,0.81203,0.80799,0.77168,0.30723,0.99207,0.32035,0.003268,0.003268,0.003268
36,702.906,0.49709,1.2699,0.9931,0.70225,0.81243,0.80834,0.77577,0.30208,0.99614,0.30757,0.00307,0.00307,0.00307
37,1399.99,0.52979,1.27529,1.01238,0.70381,0.81123,0.80713,0.77205,0.31216,0.99571,0.30844,0.002872,0.002872,0.002872
38,2089.59,0.52803,1.31436,1.01188,0.70569,0.80945,0.80705,0.77027,0.30802,0.9931,0.30781,0.002674,0.002674,0.002674
39,2785.76,0.53043,1.35646,1.00807,0.70513,0.81192,0.8078,0.76955,0.31366,0.99306,0.31733,0.002476,0.002476,0.002476
